program,section,semester,course,course_code,day,start_time,end_time,room,teacher
BS-IT,B,2nd,Dld,nan,Monday,09:00,11:00,R7,Mr.Furaj Ahmed
BS-IT,B,2nd,Pf,Cs114,Monday,00:30,02:00,Ssg-18,Dr.Abdul Rehman
BS-IT,B,2nd,Pf,Cs114,Tuesday,11:00,00:30,Ssg-18,Dr.Abdul Rehman
BS-IT,B,2nd,Fm-Ii,nan,Tuesday,00:30,02:00,R5,Dr.Abdul Quayam
BS-IT,B,2nd,Mvc,nan,Tuesday,03:00,04:30,Ssg-17,Nan
BS-IT,B,2nd,Cn,nan,Wednesday,09:00,11:00,R4,Dr.Muhammad Bilal
BS-IT,B,2nd,Ds,nan,Wednesday,11:00,00:30,Ssg-11,Mr.Shahrukh
BS-IT,B,2nd,Mvc,nan,Wednesday,03:00,04:30,R8,Dr.Abdul Quayam
BS-IT,B,2nd,Dld(Lab),nan,Thursday,09:00,00:30,Digital system lab,Mr.Furaj Ahmed
BS-IT,B,2nd,Cn(Lab),nan,Thursday,00:30,04:30,Cisco,Engr.Muhammad Ryaz
BS-IT,B,2nd,Ds,nan,Friday,09:00,11:00,R2,Mr.Shahrukh
BS-IT,B,2nd,Fm-Ii,nan,Friday,11:00,00:30,R2,Nan
BS-IT,B,2nd,Pf(Lab),Cs114,Friday,00:30,04:30,Hbl-lab1,Engr.Muhammad Haris
BS-IT,A,2nd,Pf,Cs114,Monday,09:00,11:00,Ssg-55,Dr.Abdul Rehman
BS-IT,A,2nd,Cn(Lab),nan,Monday,00:30,04:30,Hbl-lab1,Engr.Muhammad Ryaz
BS-IT,A,2nd,Ds,nan,Tuesday,11:00,00:30,Ssg-11,Ms.Bushra Haq
BS-IT,A,2nd,Dld(Lab),nan,Tuesday,00:30,04:30,Digital system lab,Dr.Rafaqat Hussain
BS-IT,A,2nd,Dld,nan,Weednesday,09:00,11:00,Ssg-55,Dr.Rafaqat Hussain
BS-IT,A,2nd,Fm-Ii,nan,Wednesday,11:00,00:30,Ssg-55,Nan
BS-IT,A,2nd,Pf(Lab),Cs114,Thursday,09:00,00:30,Hbl-iii,Engr.Muhammad Haris
BS-IT,A,2nd,Pf,Cs114,Thursday,00:30,02:00,Ssg-17,Dr.Abdul Rehman
BS-IT,A,2nd,Mvc,nan,Thursday,03:00,04:30,Ssg-18,Mr.Ali Asghar
BS-IT,A,2nd,Cn,nan,Friday,09:00,11:00,R1,Dr.Muhammad Bilal
BS-IT,A,2nd,Ds,nan,Friday,11:00,00:30,R1,Ms.Bushra Haq
BS-IT,A,2nd,Fm_Ii,nan,Friday,00:30,02:00,R1,Nan
BS-IT,A,2nd,Mvc,nan,Friday,03:00,04:30,R1,Mr.Ali Asghar
BS-IT,NAN,4th,Is,It-321,Monday,09:00,11:00,Cisco lab,Dr.Mehmood Baryalai
BS-IT,NAN,4th,Os,Cs-341/l,Monday,11:00,02:00,Hbl-ii,Mr.Arsalan Ul Haq
BS-IT,NAN,4th,P&S,Stat-101,Monday,03:00,04:30,Ssg-11,Mr.Manzoor Ahmed
BS-IT,NAN,4th,Is,It-321,Tuesday,09:00,11:00,Hbl-iii,Dr.Mehmood Baryalai
BS-IT,NAN,4th,Os,Cs-341/l,Tuesday,11:00,00:30,Ssg-13,Mr.Arsalan Ul Haq
BS-IT,NAN,4th,Wt,It-332/l,Wednesday,09:00,11:00,R1,Dr.Imran
BS-IT,NAN,4th,P&S,Stat-101,Wednesday,11:00,00:30,R1,Mr.Manzoor Ahmed
BS-IT,NAN,4th,Popsy,nan,Wednesday,00:30,02:00,R6,Ms.Naima Wahid
BS-IT,NAN,4th,Popsy,nan,Thursday,09:00,11:00,R8,Ms.Naima Wahid
BS-IT,NAN,4th,Os,Cs-341/l,Thursday,11:00,00:30,Ssa-150,Mr.Arsalan Ul Haq
BS-IT,NAN,4th,Wt,It-332/l,Thursday,00:30,02:00,Hbl-i,Dr.Imran
BS-IT,NAN,6th,Vss,It-303/l,Monday,09:00,11:00,Fyp lab,Mr.Mehrullah Soomro
BS-IT,NAN,6th,Itpm,Mgmt-212,Monday,11:00,00:30,R7,Mr.Irfan Maggsi
BS-IT,NAN,6th,Itpm,Mgmt-212,Tuesday,09:00,11:00,R2,Mr.Irfan Maggsi
BS-IT,NAN,6th,Vss,It-303/l,Tuesday,11:00,00:30,Ssg-13,Mr.Mehrullah Soomro
BS-IT,NAN,6th,Pm,nan,Tuesday,00:30,02:00,Ssa-150,Dr.Imran
BS-IT,NAN,6th,Dw,nan,Wednesday,09:00,11:00,R3,Dr.Mehmood Baryalai
BS-IT,NAN,6th,Sqe,nan,Wednesday,11:00,00:30,R3,Mr.Raheem  Shah
BS-IT,NAN,6th,Vss(Lab),It-303/l,Wednesday,00:30,04:30,Hbl-i,Mr.Mehrullah Soomro
BS-IT,NAN,6th,Dw,nan,Thursday,09:00,11:00,R4,Dr.Mehmood Baryalai
BS-IT,NAN,6th,Sqe,nan,Thursday,11:00,00:30,Ssg-15,Mr.Raheem  Shah
BS-IT,NAN,6th,Pm,nan,Thursday,00:30,02:00,Hbl-iii,Dr.Imran
BS-IT,NAN,8th,Sm,nan,Tuesday,09:00,11:00,R1,Dr.Abdul Rehman
BS-IT,NAN,8th,Pp,Hum-302,Tuesday,11:00,00:30,R1,Dr.Imran
BS-IT,NAN,8th,Ai,nan,Tuesday,00:30,02:00,Ssg-18,Dr.Raja Asif
BS-IT,NAN,8th,Ai,nan,Thursday,09:00,11:00,Ssa-150,Dr.Raja Asif
BS-IT,NAN,8th,Sm,nan,Thursday,11:00,00:30,R8,Dr.Abdul Rehman
BS-IT,NAN,8th,Pp,Hum-302,Thursday,00:30,02:00,Ssg-55,Dr.Imran
BS-IT,NAN,8th,E&L,nan,Thursday,03:00,04:30,Ssg-56,Mr.Irfan Maggsi
BS-IT,NAN,8th,E&L,nan,Friday,09:00,11:00,Ssg-55,Mr.Irfan Maggsi
BS-IT,NAN,8th,Fyp-Ii(Lab),nan,Friday,11:00,02:00,Fyp lab,Dr.Mehmood Baryalai
BS-ELE,A,2nd,De,MATHAP-214,Monday,09:30,11:00,SSG 11,Dr. Muhammad Anas
BS-ELE,A,2nd,Cp,nan,Monday,11:00,00:30,SSG 11,Mr.Amir
BS-ELE,A,2nd,Ewp(Lab),nan,Tuesday,09:30,00:30,ELECTRICAL MACHINE LAB,Engr. Hidayat Ullah
BS-ELE,A,2nd,Ps,nan,Wednesday,09:30,11:00,R1,Dr. Mohd Naeem
